date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-20,dep,THY2WF,TK1451,Turkish Airlines,LTFM,LPPR,2026-07-20T09:55:00+00:00,2026-07-20T12:45:00+00:00,2026-07-20T12:47:32+00:00,2026-07-20T17:21:22+00:00,170,138,scheduled,,A1A,4ba90c,3,fuzzy_callsign_match
2026-07-20,dep,TVF34TB,TO3281,Transavia France,LTFM,LFPO,2026-07-20T14:15:00+00:00,,2026-07-20T14:43:17+00:00,2026-07-20T18:11:53+00:00,28,,scheduled,,,39de59,,fuzzy_callsign_match
2026-07-20,dep,THY1FC,TK2520,Turkish Airlines,LTFM,LTFE,2026-07-20T17:40:00+00:00,2026-07-20T18:06:00+00:00,2026-07-20T15:04:42+00:00,2026-07-20T15:54:42+00:00,26,3,landed,,G6A,4bb1e2,-181,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY2EZ,TK2524,Turkish Airlines,LTFM,LTFE,2026-07-20T18:10:00+00:00,2026-07-20T18:26:00+00:00,2026-07-20T15:13:40+00:00,2026-07-20T16:00:53+00:00,16,,landed,,G3H,4baa43,-192,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY8KU,TK2434,Turkish Airlines,LTFM,LTAI,2026-07-20T18:10:00+00:00,2026-07-20T18:20:00+00:00,2026-07-20T17:27:49+00:00,2026-07-20T18:30:40+00:00,10,,landed,,G10B,4baa76,-52,fuzzy_callsign_match
2026-07-20,dep,THY3AT,TK1889,Turkish Airlines,LTFM,LOWW,2026-07-20T17:30:00+00:00,2026-07-20T17:40:00+00:00,2026-07-20T17:41:07+00:00,2026-07-20T19:26:47+00:00,10,,landed,,B3B,4baa8f,1,fuzzy_callsign_match
2026-07-20,dep,THY4UM,TK2568,Turkish Airlines,LTFM,LTBS,2026-07-20T17:35:00+00:00,2026-07-20T17:56:00+00:00,2026-07-20T17:58:55+00:00,2026-07-20T18:43:42+00:00,21,,active,,G11B,4bab27,3,fuzzy_callsign_match
2026-07-20,dep,THY2RK,TK1173,Turkish Airlines,LTFM,EIDW,2026-07-20T17:30:00+00:00,2026-07-20T17:59:00+00:00,2026-07-20T18:00:43+00:00,2026-07-20T21:59:52+00:00,29,1,landed,,A4B,4ba90b,2,fuzzy_callsign_match
2026-07-20,dep,THY4FB,TK1787,Turkish Airlines,LTFM,EKCH,2026-07-20T18:20:00+00:00,2026-07-20T18:25:00+00:00,2026-07-20T18:26:51+00:00,2026-07-20T21:07:45+00:00,5,,landed,,B7A,4bb061,2,fuzzy_callsign_match
2026-07-20,dep,RJA853,RJ164,Royal Jordanian,LTFM,OJAI,2026-07-20T18:30:00+00:00,,2026-07-20T20:50:01+00:00,2026-07-20T22:35:09+00:00,140,,cancelled,,,74482e,,fuzzy_callsign_match
2026-07-20,dep,THY316,TK316,Turkish Airlines,LTFM,ORER,2026-07-20T18:15:00+00:00,,,,,,cancelled,,,,,
